number,weight,symbol,name,oxidationNumbers,color,period,group
1,1,H,hydrogen,+1,#FFFFFF,1,1
2,4,He,helium,0,#FFFFFF,1,18
3,7,Li,lithium,+1,#FFA07A,2,1
4,9.4,Be,beryllium,+2,#C0C0C0,2,2
5,11,B,boron,+3,#FF7F50,2,13
6,12,C,carbon,+4 -4,#101010,2,14
7,14,N,nitrogen,+5 +3 -3,#8A2BE2,2,15
8,16,O,oxygen,+6 -2,#84CAFF,2,16
9,19,F,fluorine,-1,#00FF00,2,17
10,20,Ne,neon,0,#FFFFFF,2,18
11,23,Na,sodium,+1,#FA8072,3,1
12,24,Mg,magnesium,+2,#C0C0C0,3,2
13,27.8,Al,aluminum,+3,#808080,3,13
14,28,Si,silicon,+4 -4,#A52A2A,3,14
15,31,P,phosphorus,+3 +5 -3,#FFA500,3,15
16,32,S,sulfur,+6 +4 +2 -2,#FFFF00,3,16
17,35.5,Cl,chlorine,+1 +3 +5 +7 -1,#00FF00,3,17
18,40,Ar,argon,0,#FFFFFF,3,18
19,39,K,potassium,+1,#FF1493,4,1
20,40,Ca,calcium,+2,#808080,4,2
21,45,Sc,scandium,+3,#FFFFFF,4,3
22,48,Ti,titanium,+2 +3 +4,#808080,4,4
23,51,V,vanadium,+2 +3 +4 +5,#808080,4,5
24,52,Cr,chromium,+2 +3 +6,#808080,4,6
25,55,Mn,manganese,+2 +3 +4 +6 +7,#808080,4,7
26,56,Fe,iron,+2 +3,#808080,4,8
27,59,Co,cobalt,+2 +3,#808080,4,9
28,59,Ni,nickel,+2,#808080,4,10
29,63,Cu,copper,+1 +2,#808080,4,11
30,65,Zn,zinc,+2,#808080,4,12
31,69.7,Ga,gallium,+3,#FFFFFF,4,13
32,72.6,Ge,germanium,+2 +4 -4,#FFFFFF,4,14
33,75,As,arsenic,+3 +5 -3,#FF4500,4,15
34,78,Se,selenium,+2 +4 +6 -2,#FFA500,4,16
35,80,Br,bromine,+1 +3 +5 +7 -1,#A52A2A,4,17
36,83.7,Kr,krypton,0,#FFFFFF,4,18
37,85,Rb,rubidium,+1,#FF1493,5,1
38,87,Sr,strontium,+2,#808080,5,2
39,88,Y,yttrium,+3 +4,#808080,5,3
40,90,Zr,zirconium,+4,#808080,5,4
41,94,Nb,niobium,+5,#808080,5,5
42,96,Mo,molybdenum,+4 +6,#808080,5,6
43,98,Tc,technetium,+4 +7,#FFFFFF,5,7
44,104,Ru,ruthenium,+3 +4,#808080,5,8
45,104,Rh,rhodium,+3,#808080,5,9
46,106,Pd,palladium,+2 +4,#808080,5,10
47,108,Ag,silver,+1,#808080,5,11
48,112,Cd,cadmium,+2,#808080,5,12
49,112,In,indium,+3,#808080,5,13
50,118,Sn,tin,+2 +4 -4,#808080,5,14
51,122,Sb,antimony,+3 +5 -3,#808080,5,15
52,128,Te,tellurium,+2 +4 +6 -2,#FFA500,5,16
53,127,I,iodine,+1 +3 +5 +7 -1,#800080,5,17
54,131,Xe,xenon,0,#FFFFFF,5,18
55,133,Cs,cesium,+1,#FF1493,6,1
56,137,Ba,barium,+2,#808080,6,2
